index,title,href,landing_status,final_url,crossref_ok,openalex_ok,service_used,official_title,status,notes
1,Online formative assessment in higher education: A review of the literature,https://www.sciencedirect.com/science/article/pii/S0360131511001333,403,https://www.sciencedirect.com/science/article/pii/S0360131511001333,True,True,crossref_title,Online formative assessment in higher education: A review of the literature,verified,official_page_blocks_bot_access
2,SemEval-2014 Task 4: Aspect Based Sentiment Analysis,https://aclanthology.org/S14-2004/,200,https://aclanthology.org/S14-2004/,True,True,crossref_title,SemEval-2014 Task 4: Aspect Based Sentiment Analysis,verified,
3,SemEval-2016 Task 5: Aspect Based Sentiment Analysis,https://aclanthology.org/S16-1002/,200,https://aclanthology.org/S16-1002/,True,True,crossref_title,SemEval-2016 Task 5: Aspect Based Sentiment Analysis,verified,
4,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,https://aclanthology.org/N19-1423/,200,https://aclanthology.org/N19-1423/,False,False,,,verified,
5,An Empirical Study of Sentiment-Enhanced Pre-Training for Aspect-Based Sentiment Analysis,https://aclanthology.org/2023.findings-acl.612/,200,https://aclanthology.org/2023.findings-acl.612/,True,True,crossref_title,An Empirical Study of Sentiment-Enhanced Pre-Training for Aspect-Based Sentiment Analysis,verified,
6,Synthetic Data Generation with Large Language Models for Text Classification: Potential and Limitations,https://aclanthology.org/2023.emnlp-main.647/,200,https://aclanthology.org/2023.emnlp-main.647/,True,True,crossref_title,Synthetic Data Generation with Large Language Models for Text Classification: Potential and Limitations,verified,
7,Targeted Sentiment to Understand Student Comments,https://aclanthology.org/C16-1233/,200,https://aclanthology.org/C16-1233/,False,True,openalex_title,Targeted Sentiment to Understand Student Comments,verified,
8,Annotating Opinions and Opinion Targets in Student Course Feedback,https://aclanthology.org/L18-1425/,200,https://aclanthology.org/L18-1425/,False,True,openalex_title,Annotating Opinions and Opinion Targets in Student Course Feedback,verified,
9,Aspect-based sentiment analysis of reviews in the domain of higher education,https://doi.org/10.1108/EL-06-2019-0140,403,https://www.emerald.com/el/article/38/1/44-64/85750,True,True,crossref_doi,Aspect-based sentiment analysis of reviews in the domain of higher education,verified,official_page_blocks_bot_access
10,A Review of the Trends and Challenges in Adopting Natural Language Processing Methods for Education Feedback Analysis,https://doi.org/10.1109/ACCESS.2022.3177752,200,https://ieeexplore.ieee.org/document/9781308/,True,True,crossref_doi,A Review of the Trends and Challenges in Adopting Natural Language Processing Methods for Education Feedback Analysis,verified,
11,Dataset and Baseline for Automatic Student Feedback Analysis,https://aclanthology.org/2022.lrec-1.219/,200,https://aclanthology.org/2022.lrec-1.219/,False,False,,,verified,
12,Semantics-Preserved Data Augmentation for Aspect-Based Sentiment Analysis,https://aclanthology.org/2021.emnlp-main.362/,200,https://aclanthology.org/2021.emnlp-main.362/,True,True,crossref_title,Semantics-Preserved Data Augmentation for Aspect-Based Sentiment Analysis,verified,
13,Exploiting Cloze-Questions for Few-Shot Text Classification and Natural Language Inference,https://aclanthology.org/2021.eacl-main.20/,200,https://aclanthology.org/2021.eacl-main.20/,True,True,crossref_title,Exploiting Cloze-Questions for Few-Shot Text Classification and Natural Language Inference,verified,
14,A Unified Generative Framework for Aspect-Based Sentiment Analysis,https://aclanthology.org/2021.acl-long.188/,200,https://aclanthology.org/2021.acl-long.188/,True,True,crossref_title,A Unified Generative Framework for Aspect-based Sentiment Analysis,verified,
15,Solving Aspect Category Sentiment Analysis as a Text Generation Task,https://aclanthology.org/2021.emnlp-main.361/,200,https://aclanthology.org/2021.emnlp-main.361/,True,True,crossref_title,Solving Aspect Category Sentiment Analysis as a Text Generation Task,verified,
16,Using Opinion Mining as an educational analytic: An integrated strategy for the analysis of students’ feedback,https://doi.org/10.1016/j.stueduc.2022.101177,200,https://linkinghub.elsevier.com/retrieve/pii/S0191491X22000542,True,True,crossref_doi,Adapting early childhood education interventions to contexts: Lessons and challenges of using different evaluation designs,verified,
17,Sentiment analysis and opinion mining on educational data: A survey,https://www.sciencedirect.com/science/article/pii/S2949719123000122,403,https://www.sciencedirect.com/science/article/pii/S2949719123000122,True,True,crossref_title,Sentiment analysis and opinion mining on educational data: A survey,verified,official_page_blocks_bot_access
18,Sentiment analysis of student feedback: A comparative study employing lexicon and machine learning techniques,https://doi.org/10.1016/j.stueduc.2024.101406,200,https://linkinghub.elsevier.com/retrieve/pii/S0191491X24000853,True,True,crossref_doi,Sentiment analysis of student feedback: A comparative study employing lexicon and machine learning techniques,verified,
19,Language Models for Text Classification: Is In-Context Learning Enough?,https://aclanthology.org/2024.lrec-main.912/,200,https://aclanthology.org/2024.lrec-main.912/,True,True,crossref_title,Language Models for Text Classification: Is In-Context Learning Enough?,verified,
20,The Power of Feedback,https://doi.org/10.3102/003465430298487,403,https://journals.sagepub.com/doi/10.3102/003465430298487,True,True,crossref_doi,The Power of Feedback,verified,official_page_blocks_bot_access
21,The development of student feedback literacy: enabling uptake of feedback,https://doi.org/10.1080/02602938.2018.1463354,403,https://www.tandfonline.com/doi/full/10.1080/02602938.2018.1463354,True,True,crossref_doi,The development of student feedback literacy: enabling uptake of feedback,verified,official_page_blocks_bot_access
22,Conditions that enable effective feedback,https://doi.org/10.1080/07294360.2019.1657807,403,https://www.tandfonline.com/doi/full/10.1080/07294360.2019.1657807,True,True,crossref_doi,Conditions that enable effective feedback,verified,official_page_blocks_bot_access
23,Text analytics approach to extract course improvement suggestions from students’ feedback,https://doi.org/10.1186/s41039-018-0073-0,200,https://link.springer.com/article/10.1186/s41039-018-0073-0,True,True,crossref_doi,Text analytics approach to extract course improvement suggestions from students’ feedback,verified,
24,Improving the quality of teaching by utilising written student feedback: A streamlined process,https://doi.org/10.1016/j.compedu.2020.103965,200,https://linkinghub.elsevier.com/retrieve/pii/S0360131520301639,True,True,crossref_doi,Improving the quality of teaching by utilising written student feedback: A streamlined process,verified,
25,A Survey of Data Augmentation Approaches for NLP,https://aclanthology.org/2021.findings-acl.84/,200,https://aclanthology.org/2021.findings-acl.84/,True,True,crossref_title,A Survey of Data Augmentation Approaches for NLP,verified,
26,Generating Training Data with Language Models: Towards Zero-Shot Language Understanding,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0346c148ba1c21c6b4780a961ea141dc-Abstract-Conference.html,200,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0346c148ba1c21c6b4780a961ea141dc-Abstract-Conference.html,True,True,crossref_title,Generating Training Data with Language Models: Towards Zero-Shot Language Understanding,verified,
27,Self-Instruct: Aligning Language Models with Self-Generated Instructions,https://aclanthology.org/2023.acl-long.754/,200,https://aclanthology.org/2023.acl-long.754/,True,True,crossref_title,Self-Instruct: Aligning Language Models with Self-Generated Instructions,verified,
28,Instruction Tuning for Few-Shot Aspect-Based Sentiment Analysis,https://aclanthology.org/2023.wassa-1.3/,200,https://aclanthology.org/2023.wassa-1.3/,True,True,crossref_title,Instruction Tuning for Few-Shot Aspect-Based Sentiment Analysis,verified,
29,A Weak Supervision Approach for Few-Shot Aspect Based Sentiment Analysis,https://aclanthology.org/2024.eacl-long.167/,200,https://aclanthology.org/2024.eacl-long.167/,True,True,crossref_title,A Weak Supervision Approach for Few-Shot Aspect Based Sentiment Analysis,verified,
30,Sentiment Analysis in the Era of Large Language Models: A Reality Check,https://aclanthology.org/2024.findings-naacl.246/,200,https://aclanthology.org/2024.findings-naacl.246/,True,True,crossref_title,Sentiment Analysis in the Era of Large Language Models: A Reality Check,verified,
