,clarity,difficulty,exam_fairness,interest,lecturer_quality,materials,overall_experience,relevance,support,workload
clarity,1239,193,170,181,161,193,161,185,185,193
difficulty,193,1154,155,184,171,180,153,188,168,195
exam_fairness,170,155,1166,167,176,174,147,188,175,173
interest,181,184,167,1205,172,194,166,203,197,177
lecturer_quality,161,171,176,172,1185,165,166,178,202,181
materials,193,180,174,194,165,1194,164,166,171,180
overall_experience,161,153,147,166,166,164,1105,182,186,171
relevance,185,188,188,203,178,166,182,1247,201,169
support,185,168,175,197,202,171,186,201,1244,183
workload,193,195,173,177,181,180,171,169,183,1228
