aspect,n_eval,mse,mae,polarity_accuracy
exam_fairness,61,0.2628592224719392,0.39872037837201213,0.6721311475409836
overall_experience,85,0.33186148333260584,0.44098965408646373,0.6235294117647059
clarity,74,0.3504946768065388,0.48322810623967977,0.5540540540540541
lecturer_quality,54,0.3506652910008228,0.47321203431608505,0.6296296296296297
materials,84,0.4348452264848174,0.552735157314637,0.4880952380952381
difficulty,55,0.43795530292546186,0.5260592693270464,0.6
workload,92,0.44381010665949205,0.5515572957649192,0.4891304347826087
support,62,0.5070633754185713,0.6051376453576748,0.4032258064516129
relevance,82,0.5409744610257805,0.6370705212263504,0.36585365853658536
interest,58,0.6124198533759305,0.644612621107665,0.39655172413793105
